app_id,app_name,review_count
200990,Geneforge 3,18
201000,Geneforge 4,13
201010,Geneforge 5,43
201040,Galcon Legends,93
201070,Revelations 2012,176
201210,Pox Nora,242
201230,EverQuest II,636
201290,Sins of a Solar Empire: Trinity,346
201420,Toki Tori 2+,331
201480,Serious Sam: The Random Encounter,242
201490,Airline Tycoon 2,223
201510,Flatout 3,488
201570,Really Big Sky,828
201700,DiRT Showdown,987
201790,Orcs Must Die! 2,139
201810,Wolfenstein: The New Order,11708
201830,Jurassic Park: The Game,725
201870,Assassin's Creed Revelations,1505
202070,Choplifter HD,98
202130,Impire,185
